#             1	              2	              3	              4              5	              6	              7	              8	              9	             10
#       Time, s	   Pressure, Pa	     dPdt, Pa/s	         r_f, m	       A_f, m^2	        M_f, kg	       S_c, m/s	           γ_u	   ρ_u, kg/m^3	         T_u, K
0.000000000e+00	1.013250000e+05	0.000000000e+00	4.672791446e-03	2.743864497e-04	7.027206620e-08	-3.281423519e-01	1.352034774e+00	1.361512771e+00	3.000000000e+02
5.100000000e-05	1.013250000e+05	0.000000000e+00	4.630108867e-03	2.693966987e-04	7.518463706e-08	-2.472698553e-03	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.010000000e-04	1.013250000e+05	0.000000000e+00	4.635216644e-03	2.699914048e-04	7.897805020e-08	7.344812200e-03	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.510000000e-04	1.013250000e+05	0.000000000e+00	4.648472315e-03	2.715378416e-04	8.214383391e-08	1.242356111e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
2.010000000e-04	1.013250000e+05	0.000000000e+00	4.664353768e-03	2.733964231e-04	8.487557174e-08	1.557960870e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
2.510000000e-04	1.013250000e+05	0.000000000e+00	4.681109818e-03	2.753642294e-04	8.728712118e-08	1.771727357e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
3.000000000e-04	1.013250000e+05	0.000000000e+00	4.697706001e-03	2.773202169e-04	8.941131900e-08	1.921898910e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
3.500000000e-04	1.013250000e+05	0.000000000e+00	4.714516488e-03	2.793085189e-04	9.138539104e-08	2.036072833e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
4.000000000e-04	1.013250000e+05	0.000000000e+00	4.731060811e-03	2.812722742e-04	9.320082849e-08	2.123612355e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
4.500000000e-04	1.013250000e+05	0.000000000e+00	4.742420073e-03	2.826245634e-04	9.488515458e-08	2.197232012e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
5.000000000e-04	1.013250000e+05	0.000000000e+00	4.749890959e-03	2.835157198e-04	9.645928406e-08	2.261560203e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
5.500000000e-04	1.013250000e+05	0.000000000e+00	4.757620011e-03	2.844391475e-04	9.793943654e-08	2.316615121e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
6.000000000e-04	1.013250000e+05	0.000000000e+00	4.765534503e-03	2.853862866e-04	9.933840735e-08	2.365247098e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
6.500000000e-04	1.013250000e+05	0.000000000e+00	4.773582375e-03	2.863510017e-04	1.006664371e-07	2.409657978e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
7.000000000e-04	1.013250000e+05	0.000000000e+00	4.781726320e-03	2.873288904e-04	1.019318265e-07	2.451581096e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
7.500000000e-04	1.013250000e+05	0.000000000e+00	4.789939940e-03	2.883168336e-04	1.031413828e-07	2.492458937e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
8.000000000e-04	1.013250000e+05	0.000000000e+00	4.798204991e-03	2.893126747e-04	1.043007244e-07	2.533519828e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
8.500000000e-04	1.013250000e+05	0.000000000e+00	4.815787449e-03	2.914368641e-04	1.071254634e-07	2.565945424e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
9.000000000e-04	1.013250000e+05	0.000000000e+00	4.831749959e-03	2.933720715e-04	1.095603300e-07	2.602226376e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
9.500000000e-04	1.013250000e+05	0.000000000e+00	4.847305131e-03	2.952640562e-04	1.118434955e-07	2.642066202e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.000000000e-03	1.013250000e+05	0.000000000e+00	4.862516098e-03	2.971200561e-04	1.139950905e-07	2.686415092e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.050000000e-03	1.013250000e+05	0.000000000e+00	4.877439366e-03	2.989466026e-04	1.160316559e-07	2.736333810e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.100000000e-03	1.013250000e+05	0.000000000e+00	4.892127107e-03	3.007497872e-04	1.179669338e-07	2.792988556e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.150000000e-03	1.013250000e+05	0.000000000e+00	4.906629041e-03	3.025354800e-04	1.198124527e-07	2.857784038e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.201000000e-03	1.013250000e+05	0.000000000e+00	4.921280422e-03	3.043449423e-04	1.216125267e-07	2.934030126e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.251000000e-03	1.013250000e+05	0.000000000e+00	4.935557571e-03	3.061133768e-04	1.233050232e-07	3.020916153e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.301000000e-03	1.013250000e+05	0.000000000e+00	4.949802001e-03	3.078828640e-04	1.249331518e-07	3.122565444e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.351000000e-03	1.013250000e+05	0.000000000e+00	4.964072053e-03	3.096606472e-04	1.265031038e-07	3.242612672e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.401000000e-03	1.013250000e+05	0.000000000e+00	4.978434416e-03	3.114550984e-04	1.280202792e-07	3.385953923e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.451000000e-03	1.013250000e+05	0.000000000e+00	4.992968354e-03	3.132762640e-04	1.294894149e-07	3.559371533e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.501000000e-03	1.013250000e+05	0.000000000e+00	5.007771908e-03	3.151366712e-04	1.309146856e-07	3.772563149e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.551000000e-03	1.013250000e+05	0.000000000e+00	5.021583256e-03	3.168773512e-04	1.322997805e-07	4.042094145e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.601000000e-03	1.013250000e+05	0.000000000e+00	5.034732700e-03	3.185390648e-04	1.336479571e-07	4.390316521e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
1.651000000e-03	1.013250000e+05	0.000000000e+00	5.048718926e-03	3.203112929e-04	1.349620651e-07	4.851358279e-02	1.352034774e+00	1.361512771e+00	3.000000000e+02
